Organiser,Organisation Addresses,Boroughs,Latitude,Longitude,Telephone Number,Type,Scheme Title,Website organiser,Scheme URL,Content,Business Issues,Categories,Funding Amounts,Funding Types,Permalink,Themes,Bio-technology,Business and Financial Services,Construction,Creative,Digital and IT,Health and Social Care,Hospitality,Life sciences,Medical,Retail and Wholesale,Science and Technology,Tourism and Leisure,Urban,Pre-Start ,Early Stage,Growth ,Mature,Micro,Small,Medium,Large
Lloyds Bank,"115 Trevithick Court, Milton Keynes, MK12 5FP",Milton Keynes,52.065281,-0.805917,Number not found,Investor/ Funding Org,Lloyds Bank Strategic Finance,https://commercialbanking.lloydsbank.com/home/,https://commercialbanking.lloydsbank.com/products-and-services/financing/strategic-finance/,Lloyds Bank primary focus is on supporting dynamic and growing businesses with debt requirements of more than £10m.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,
Lloyds Bank,"115 Trevithick Court, Milton Keynes, MK12 5FP",Milton Keynes,52.065281,-0.805917,Number not found,Investor/ Funding Org,Lloyds Bank Working capital finance,https://commercialbanking.lloydsbank.com/home/,https://commercialbanking.lloydsbank.com/products-and-services/financing/working-capital-finance/,"If you have money tied up in invoices or other assets, Llodys bank working capital finance solutions can help release these all-important funds to help keep your business moving.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Lombard,"The Jam Pot Unit 3d, Phoenix Brewery 13 Bramley Road, London, United Kingdom, W10 6SZ",Kensington and Chelsea,51.512438,-0.218023,Number not found,Investor/ Funding Org,Lombard Asset Finance,http://www.lombard.co.uk,http://www.lombard.co.uk,"Lombard provides a range of financial products to help firms grow and remain competitive. It finances a wide range of assets including vehicles, manufacturing machinery, technology, renewable energy and healthcare equipment.
",Business growth|Raising finance,Financing your business,"Â£0 - Â£1,000|Â£1,000 - Â£25,000|Â£100,000 - Â£250,000|Â£25,000 - Â£100,000|Â£250,000 - Â£500,000|Â£500,000+",Loan,https://www.growthhub.london/scheme/lombard-asset-finance/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x
London & Partners,"53 Coniscliffe Road, Darlington, County Durham, England, DL3 7EH",Darlington,54.522646,-1.561405,Number not found,Public Sector,Go to Grow: The Mayorâ€™s International Business Programme,http://gotogrow.london/,http://gotogrow.london/,"The Mayorâ€™s International Business Programme is a tailored business support programme for high-growth firms in London operating in four broad sectors: creative, technology, life sciences and urban.

Over the course of the programme, you will receive the advice and support you need to make your business an international success. The programme provides:
<ul>
 	<li>Help and support to get your market entry strategy right</li>
 	<li>Advice and workshops</li>
 	<li>Targeted trade missions</li>
 	<li>Information on the latest market developments</li>
 	<li>Opportunities to build relationships with potential buyers</li>
 	<li>Mentoring from some of the UKâ€™s most successful entrepreneurs</li>
</ul>
This programme is open to firms that already have an international presence, as well as those new to export and international trade. What matters is that you want to grow outside of the UK!

This project is part-funded Â by the European Regional Development Fund (ERDF).


",Business growth|Import and export,Accessing new business,,,https://www.growthhub.london/scheme/go-to-grow-the-mayors-international-business-programme-2/,,,,,x,,,,x,,,x,,x,,x,x,,x,x,x,x
London & Partners,"53 Coniscliffe Road, Darlington, County Durham, England, DL3 7EH",Darlington,54.522646,-1.561405,Number not found,Public Sector,London & Partners' Business Growth Programme,http://business.london,http://business.london/business-growth-programme,"London &amp; Partners' Business Growth Programme provides tailored advice and support to grow your business. It will help you overcome many challenges at different stages in your businesses' growth journey, as well as providing access to:
<ul>
 	<li>Experienced and commercially successful mentors</li>
 	<li>Local business support</li>
 	<li>Workshops and events</li>
 	<li>Supply chain development</li>
</ul>
This programme is open to London-based firms with less than 250 employers and a turnover of less than Â£40 million. Eligible firms must be in the life sciences, digital/tech, creative, media and telecoms sector.

This project is part-funded by the European Regional Development Fund (ERDF).

",Business growth,Advice and Guidance|Mentoring,,,https://www.growthhub.london/scheme/london-partners-business-growth-programme/,Financing your business|Managing your business|Accessing new business,,,,x,x,,,x,,,,,,,,x,,x,x,x,
London & Partners,"53 Coniscliffe Road, Darlington, County Durham, England, DL3 7EH",Darlington,54.522646,-1.561405,Number not found,Public Sector,Support to relocate to and grow your business in London,https://www.londonandpartners.com/,http://invest.london,"London &amp; Partners helps overseas businesses to set up and grow in London. Its team can advise on every aspect of locating and doing business in London. Business owners can seek advice about visas, tax, opening bank accounts, recruitment and finance.
",Business growth|Business planning|Import and export,Advice and Guidance|Managing your business,,,https://www.growthhub.london/scheme/grow-your-business/,Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
London & Partners,"53 Coniscliffe Road, Darlington, County Durham, England, DL3 7EH",Darlington,54.522646,-1.561405,Number not found,Public Sector,The London Growth Network,https://www.londonandpartners.com/,https://lep.london/content_page/london-business-growth-hub,"As London’s official promotional organisation, London and Partners' project will attract foreign-owned SMEs to London; 
increase the growth of foreign-owned SMEs across London; enhance the productivity of foreign and London-owned SMEs by supporting collaboration with larger corporates, and enable access to international supply chains.
It seeks to create new jobs and encouarge business growth.",,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
London & Partners,"53 Coniscliffe Road, Darlington, County Durham, England, DL3 7EH",Darlington,54.522646,-1.561405,Number not found,Public Sector,Mayor'S International Business Programme,https://www.londonandpartners.com/,http://gotogrow.london/,The project aims to improve London’s competitiveness by increasing SMEs' exports; deliver a Mayoral-led campaign to highlight the benefits of exporting to London SMEs; arrange trade missions for SMEs. It will create new jobs and encourage business growth in the capital.,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
London Borough of Barnet,"3rd Floor 21 Stall Street, Bath, BA1 1QF",Bath and North East Somerset,51.379965,-2.359994,Number not found,Local Authority,London Borough of Barnet Business Support and Advice,https://www.barnet.gov.uk/,https://www.barnet.gov.uk/citizen-home/business.html,"London Borough of Barnet provides advice, support and information to start ups and established firms in Barnet.

Business support

Barnet Council provides business advice and support. It also lists the business support services available to start ups and small firms in the borough.
Email: barnetbusiness@barnet.gov.uk
Website: www.barnet.gov.uk/citizen-home/business/Thinking-of-starting-a-business.html

London Borough of Barnet provides signposting to sources of advice on business continuity planning.
Website: www.barnet.gov.uk/citizen-home/business/Growing-your-business/Get-back-to-business-after-a-major-disruption.html

Business premises

Barnet Council lists council-owned land and premises available to rent or buy.
Tel: (020) 8359 3999
Email: estates.businesssupport@barnet.gov.uk
Website: www.barnet.gov.uk/citizen-home/business/commercial-property-for-sale-and-rent.html 

Libraries

Barnet libraries are a good source of information and intelligence for start ups and small business owners.
Website: https://www.barnet.gov.uk/citizen-home/libraries

Trading licences

The local licensing team provides information about how to apply for various trading licences.
Tel: (020) 8359 7443
Email: licensingadmin@barnet.gov.uk
Website: www.barnet.gov.uk/citizen-home/business/licences-permits-and-registrations.html 

Business rates

Barnet Council is responsible for collecting business rates and dealing with any related queries.
Tel: (020) 8359 2735
Email: businessrates@barnet.gov.uk
Website: www.barnet.gov.uk/citizen-home/business/business-rates.html 

Procurement

London Borough of Barnet manages more than 1,000 contracts worth a total of £1.1 billion. It provides advice and information to help business owners bid for public sector tenders.
Tel: (020) 8359 2000
Email: spt@barnet.gov.uk
Website: www.barnet.gov.uk/citizen-home/business/How-to-sell-to-the-council-and-council-contracts.html

Emergency contacts

Barnet Council provides an out-of-hours service for emergencies such as:

    Collapsed or unsafe buildings or structures
    Emergency repairs to council-owned property
    Extreme weather

Tel: (020) 8359 7544
Website: www.barnet.gov.uk/citizen-home/environmental-health/emergencies.html",Business start up|Legal compliance issues|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-barnet/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
London Borough of Bexley,"10  Crawley Road, Horsham, United Kingdom, RH12 4DT",Horsham,51.073363,-0.301647,Number not found,Local Authority,London Borough of Bexley Business Support and Advice,http://www.bexley.gov.uk/,http://www.bexley.gov.uk/business,"London Borough of Bexley provides advice, support and information to start ups and established firms in Bexley.

Business support

London Borough of Bexley lists the business support services available to start ups and small firms in the borough.
Email: business@bexley.gov.uk
Website: www.bexley.gov.uk/services/business-bexley

Business premises

Bexley Council lists council-owned premises available to rent or buy.
Tel: (020) 8303 7777
Email: propertyservices@bexley.gov.uk
Website: www.bexley.gov.uk/propertyavailable

Libraries

Bexley Libraries are a good source of information and intelligence for start ups and small business owners.
Website: https://arena.yourlondonlibrary.net/web/bexley

Trading licences

The local licensing team provides information about how to apply for various trading licences.
Tel: (020) 8303 7777
Website: www.bexley.gov.uk/licensing 

Business rates

Bexley Council is responsible for collecting business rates and dealing with any related queries.
Tel: (020) 8315 2174
Email: bexley.nndr@secure.capita.co.uk
Website: www.bexley.gov.uk/nndr 

Procurement

London Borough of Bexley provides advice and information to help business owners bid for public sector tenders.
Tel: (020) 3045 5300
Email: procurement@bexley.gov.uk
Website: www.bexley.gov.uk/procurement

Emergency contacts

Bexley Council provides an out-of-hours service for emergencies such as:

    Street and pavement issues such as traffic lights, streetlights and blocked drains
    Access emergencies
    Traffic accidents

Tel: (020) 8303 7171
Website: www.bexley.gov.uk/services/contact-us",Business start up|Legal compliance issues|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-bexley/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
London Borough of Brent,"Laurence House, 1, Catford Road, London, United Kingdom, SE6 4RU",Lewisham,51.445254,-0.020152,+44 20 8937 1234,Local Authority,London Borough of Brent,https://www.brent.gov.uk/,https://www.brent.gov.uk/business/,"London Borough of Brent provides advice, support and information to start ups and established firms in Brent. 
Business support Brent Business Hub provides signposting to sources of business support, funding and events for start ups and small firms in the borough. ",Business start up|Legal compliance issues|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-brent/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
London Borough of Bromley,"Bromley Council, Civic Centre, Stockwell Close, Bromley BR1 3UH.",Bromley,51.403879,0.020377,024208313 4457 ,Local Authority,London Borough of Bromley Business Support and Advice,http://www.bromley.gov.uk/,http://www.bromley.gov.uk/info/200013/business_support_and_advice,"London Borough of Bromley provides advice, support and information to start ups and established firms in Bromley.

Business support

Bromley Council lists the business support services and resources available to start ups and small firms in the borough.
Tel: (020) 8313 4457
Email: business@bromley.gov.uk
Website: www.bromley.gov.uk/info/200013/business_support_and_advice

Business premises

Bromley Council lists council-owned land and premises available to rent or buy. It also provides an online database of commercial premises available in the borough.
Website: www.bromley.gov.uk/info/200018/commercial_property

Libraries

Bromley libraries are a good source of information and intelligence for start ups and small business owners.
Website: https://arena.yourlondonlibrary.net/web/bromley

Trading licences

The local licensing team provides information about how to apply for various trading licences.
Tel: (020) 8313 4218
Email: licensing@bromley.gov.uk
Website: www.bromley.gov.uk/info/200063/licences

Business rates

Bromley Council is responsible for collecting business rates and dealing with any related queries.
Tel: (0300) 303 8659
Email: business.rates@bromley.gov.uk
Website: www.bromley.gov.uk/info/200012/business_rates

Procurement

London Borough of Bromley provides advice and guidance to help business owners bid for public sector tenders.
Tel: (020) 8313 4560
Email: procurement@bromley.gov.uk
Website: www.bromley.gov.uk/info/200095/tenders_and_contracts 

Emergency contacts

Bromley Council provides an out-of-hours service for emergencies such as:

    Street and pavement issues such as traffic lights, streetlights and blocked drains
    Noise nuisances
    Access emergencies
    Extreme weather

Tel: (0300) 303 8671
Website: www.bromley.gov.uk/info/200039/emergencies/460/emergency_contacts",Business start up|Legal compliance issues|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-bromley/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
London Borough of Camden,"Suite 2,  Talisbrook House, Castle Street, Wolverhampton, West Midlands, England, WV1 3AD",Wolverhampton,52.585157,-2.124047,Number not found,Local Authority,London Borough of Camden,https://www.camden.gov.uk/business,https://www.camden.gov.uk/business,"

London Borough of Camden provides advice, support and information to start ups and established firms in Camden.

Business support

Camden Council lists the business support services available to start ups and small firms in the borough.
Tel: (020) 7974 4444
Email: economicdevelopment@camden.gov.uk
Website: http://camden.gov.uk/ccm/navigation/business/starting-and-growing-your-business/starting-a-business

Financial support

Camden Council provides signposting to sources of funding for start ups and established firms in the borough.
Website: www.camden.gov.uk/advice-on-starting-or-growing-your-business?inheritRedirect=true#uvpy

Business premises

London Borough of Camden provides an online database of commercial premises available to rent or buy.
Tel: (020) 7974 4444
Website: http://camden.gov.uk/ccm/navigation/business/property-for-sale-and-let

Libraries

Camden libraries are a good source of information and intelligence for start ups and small business owners.
Website: https://www.camden.gov.uk/ccm/navigation/leisure/libraries-and-online-learning-centres

Trading licences

The local licensing team provides information about how to apply for various trading licences.
Tel: (020) 7974 4444
Website: http://camden.gov.uk/ccm/navigation/business/your-business-account/licensing-and-permits

Business rates

Camden Council is responsible for collecting business rates and dealing with any related queries.
Tel: (020) 7974 6460
Website: http://camden.gov.uk/ccm/navigation/business/your-business-account/business-rates

Procurement

London Borough of Camden provides advice and information to help business owners bid for public sector contracts.
Tel: (020) 7974 5661
Website: https://www.camden.gov.uk/business-with-camden?inheritRedirect=true

Emergency contacts

Camden Council provides an out-of-hours service for emergencies such as:

    Collapsed or unsafe buildings
    Emergency repairs to council-owned property
    Street and pavement issues such as traffic lights, streetlights and blocked drains
    Transport issues

Tel: (020) 7974 4444
Website: www.camden.gov.uk/emergencies?inheritRedirect=true",Business start up|Legal compliance issues|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-camden/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
London Borough of Croydon,"129  Finchley Road, London, NW3 6HY",Croydon,51.543035,-0.175627,020 8760 5466,Local Authority,London Borough of Croydon Business Support and Advice,https://www.croydon.gov.uk/,http://www.croydon.gov.uk/business/support,"London Borough of Croydon provides advice, support and information to start ups and established firms in Croydon.

Business support

Croydon Council lists the business support services available to start ups and small firms in the borough.
Tel: (020) 8760 5666
Email: economy@croydon.gov.uk
Website: www.croydon.gov.uk/business/support 

Croydon Council provides advice and support to help social enterprises start up and grow.
Tel: (020) 8604 7029
Email: thirdsector@croydon.gov.uk
Website: www.croydon.gov.uk/community/advice/tsfunding/thirdsector

London Borough of Croydon provides advice and guidance on business continuity planning.
Email: business.continuity@croydon.gov.uk
Website: www.croydon.gov.uk/business/support/business-continuity-awareness  

Libraries

Croydon libraries are a good source of information and intelligence for start ups and small business owners.
Website: www.croydon.gov.uk/leisure/libraries

Trading licences

The local licensing team provides information about how to apply for various trading licences.
Tel: (020) 8760 5466
Email: licensing@croydon.gov.uk
Website: www.croydon.gov.uk/business/licences  

Business rates

Croydon Council is responsible for collecting business rates and dealing with any related queries.
Tel: (020) 8726 7000
Email: croynndr@croydon.gov.uk
Website: www.croydon.gov.uk/business/businessrates

Procurement

London Borough of Croydon provides information to help business owners bid for public sector tenders.
Email: procurement@croydon.gov.uk
Website: www.croydon.gov.uk/business/tenders 

Emergency contacts

Croydon Council provides an out-of-hours service for emergencies such as:

    Collapsed or unsafe buildings
    Emergency repairs to council-owned premises
    Street and pavement issues such as traffic lights, streetlights and blocked drains
    Extreme weather

Tel: (020) 8726 6000
Website: www.croydon.gov.uk/community/emergencies/emergency-contacts",Business start up|Legal compliance issues|Social enterprise|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-croydon/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
London Borough of Ealing,"Ealing Town Hall, New Broadway, Ealing, London W5 2BY",Ealing,51.513328,-0.307284,020 8825 5560,Local Authority,London Borough of Ealing,https://www.ealing.gov.uk/site/,https://www.ealing.gov.uk/info/201015/business_support_and_advice,"London Borough of Ealing provides advice, support and information to start ups and established firms in Ealing.

Business support

Ealing Council provides advice and guidance on business continuity planning.
Tel: (020) 8825 5560
Website: www.ealing.gov.uk/info/201214/business_continuity

Financial support

London Borough of Ealing provides grants of between £750 and £15,000 to help small and medium-sized firms become more energy and resource efficient.
Email: businessenergy@ealing.gov.uk
Website: www.ealing.gov.uk/info/201015/business_support_and_advice/2160/energy_efficiency_grants_for_businesses 

Business premises

Ealing Council provides serviced office space to start ups and small firms in Southall.
Tel: (020) 8571 8809
Website: www.ealing.gov.uk/info/201015/business_support_and_advice/595/serviced_office_space_to_let_in_southall

Libraries

Ealing libraries are a good source of information and intelligence for start ups and small business owners.
Website: www.ealing.gov.uk/info/201219/libraries

Trading licences

The local licensing team provides information about how to apply for various trading licences.
Tel: (020) 8825 6655
Email: licensing@ealing.gov.uk
Website: www.ealing.gov.uk/info/201017/licences_and_street_trading

Business rates

Ealing Council is responsible for collecting business rates and dealing with any related queries.
Tel: (020) 8825 7020
Email: revenues@ealing.gov.uk
Website: www.ealing.gov.uk/info/201014/business_rates

Procurement

London Borough of Ealing spends more than £280 million per annum on services, supplies and works. It provides information to help business owners bid for public sector tenders.
Email: procurement@ealing.gov.uk
Website: www.ealing.gov.uk/info/201018/tenders_and_contracts 

Emergency contacts

Ealing Council provides an out-of-hours service for emergencies such as:

    Collapsed or unsafe buildings
    Emergency repairs to council-owned property
    Street and pavement issues such as traffic lights, streetlights and blocked drains
    Extreme weather

Tel: (020) 8825 5000",Business start up|Legal compliance issues|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-ealing/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
London Borough of Enfield,"8  Bloomsbury Street, London, England, WC1B 3SR",Camden,51.517206,-0.126879,Number not found,Local Authority,London Borough of Enfield,https://new.enfield.gov.uk/,https://new.enfield.gov.uk/services/improving-enfield/business-advice-and-support/,"

London Borough of Enfield provides advice, support and information to start ups and established firms in Enfield.

Business support

Enfield Council lists the business support services available to start ups and small firms in the borough.
Website: https://new.enfield.gov.uk/services/libraries/library-information-services/business-information-and-advice

Invest in Enfield provides support and information to help firms relocate to or expand in Enfield.
Email: invest@enfield.gov.uk
Website: http://improvingenfield.com/improving_enfield

London Borough of Enfield provides advice and guidance on business continuity planning.
Tel: (020) 8379 1000
Website: https://new.enfield.gov.uk/services/business-and-licensing/information-advice-and-support/business-continuity

Business premises

Enfield Council lists council-owned land and premises available to rent or buy.
Website: https://new.enfield.gov.uk/services/planning/property-and-land/land-and-buildings-owned-by-the-council

Libraries

Enfield libraries are a good source of information and intelligence for start ups and small business owners.
Website: https://new.enfield.gov.uk/services/libraries/

Trading licences

The local licensing team provides information about how to apply for various trading licences.
Website: https://new.enfield.gov.uk/services/business-and-licensing

Business rates

Enfield Council is responsible for collecting business rates and dealing with any related queries.
Tel: (020) 8379 4766
Email: revs@enfield.gov.uk
Website: https://new.enfield.gov.uk/services/business-and-licensing/

Procurement

London Borough of Enfield provides information to help business owners bid for public sector tenders.
Tel: (020) 8379 5049
Email: corporate.procurement@enfield.gov.uk
Website: https://new.enfield.gov.uk/services/business-and-licensing/

Emergency contacts

Enfield Council provides an out-of-hours service for emergencies such as:

    Collapsed or unsafe buildings
    Emergency repairs to council-owned property
    Street and pavement issues such as traffic lights, streetlights and blocked drains
    Extreme weather

Tel: (020) 8379 1000
Website: https://new.enfield.gov.uk/contact-us",Business start up|Legal compliance issues|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-enfield/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
London Borough of Hackney,"Mare St, London E8 1EA",Hackney,51.545032,-0.056434,Number not found,Local Authority,London Borough of Hackney Business support and advice,http://www.hackney.gov.uk/index,http://www.hackney.gov.uk/business-advice,"London Borough of Hackney provides advice, support and information to start ups and established firms in Hackney.

Business support

Hackney Council lists the business support services available to start ups and small firms in the borough.
Email: business@hackney.gov.uk
Website: www.hackney.gov.uk/business-advice

Hackney Council provides advice and guidance on business continuity planning.
Tel: (020) 8356 2379
Email: emergencyplanning@hackney.gov.uk
Website: www.hackney.gov.uk/business-continuity-management 

Business premises

London Borough of Hackney lists council-owned premises available to rent.
Tel: (020) 8356 4057
Email: property@hackney.gov.uk
Website: www.hackney.gov.uk/property

Libraries

Hackney libraries are a good source of information and intelligence for start ups and small business owners.
Website: www.hackney.gov.uk/libraries

Trading licences

The local licensing team provides information about how to apply for various trading licences.
Tel: (020) 8356 2431
Email: licensing@hackney.gov.uk
Website: www.hackney.gov.uk/licensing

Business rates

London Borough of Hackney is responsible for collecting business rates and dealing with any related queries.
Tel: (020) 8356 3466
Email: business.rates@hackney.gov.uk
Website: www.hackney.gov.uk/businessrates

Procurement

Hackney Council provides information to help business owners bid for public sector tenders.
Tel: (020) 8356 3448
Website: www.hackney.gov.uk/tenders

Emergency contacts

London Borough of Hackney provides an out of hours service for emergencies such as:

    Collapsed or unsafe buildings
    Traffic accidents
    Emergency repairs to council-owned property
    Extreme weather

Tel: (020) 8356 2379
Website: www.hackney.gov.uk/emergency-planning  ",Business start up|Legal compliance issues|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-hackney/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
London Borough of Hammersmith & Fulham,"King St, Hammersmith, London W6 9JU",Hammersmith and Fulham,51.491514,-0.234114,020 8753 5585,Local Authority,London Borough of Hammersmith & Fulham Business support and advice,https://www.lbhf.gov.uk/,https://www.lbhf.gov.uk/business/business-support-and-advice/hf-enterprise-club,"London Borough of Hammersmith & Fulham provides advice, support and information to start ups and established firms in the borough.

Business support

Business Helpdesk provides signposting to sources of business support and advice for start ups and small firms in Hammersmith and Fulham.
Tel: (020) 8753 5585
Email: business-support@lbhf.gov.uk
Website: www.lbhf.gov.uk/business/business-support-and-advice/business-helpdesk

Hammersmith & Fulham Council provides an Enterprise Club, which runs monthly enterprise workshops for start ups and early-stage firms in the borough.
Tel: (020) 8753 5585
Email: business-support@lbhf.gov.uk
Website: www.lbhf.gov.uk/business/business-support-and-advice/help-starting-or-expanding 

London Borough of Hammersmith & Fulham provides advice and guidance on business continuity planning.
Tel: (020) 8753 2286
Website: www.lbhf.gov.uk/emergencies-and-safety/business-continuity

Business premises

Hammersmith & Fulham Council lists council-owned premises available to rent or buy.
Tel: (020) 8753 2692
Website: www.lbhf.gov.uk/business/business-support-and-advice/looking-space 

Libraries

Hammersmith and Fulham libraries are a good source of information and intelligence for start ups and small business owners.
Website: www.lbhf.gov.uk/libraries

Trading licences

The local licensing team provides information about how to apply for various trading licences.
Tel: (020) 8753 1081
Email: licensing@lbhf.gov.uk
Website: www.lbhf.gov.uk/business/licensing

Business rates

London Borough of Hammersmith & Fulham is responsible for collecting business rates and dealing with any related queries.
Tel: (020) 8753 6681
Email: businessrates@lbhf.gov.uk
Website: www.lbhf.gov.uk/business/business-rates

Procurement

Hammersmith & Fulham Council spends more than £250 million per annum on services, supplies and works. It provides information to help business owners bid for public sector tenders.
Tel: (020) 8753 2583
Email: procurement@lbhf.gov.uk
Website: www.lbhf.gov.uk/business/trading-council

Emergency contacts

London Borough of Hammersmith & Fulham provides an out-of-hours service for emergencies such as:

    Collapsed or unsafe buildings
    Traffic accidents
    Emergency repairs to council-owned property
    Extreme weather

Tel: (020) 8748 8588
Website: www.lbhf.gov.uk/emergencies-and-safety",Business start up|Legal compliance issues|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-hammersmith-fulham/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
London Borough of Haringey,"44-46 Sekforde Street, 1st Floor, London, England, EC1R 0HA",Haringey,51.523994,-0.104498,Number not found,Local Authority,Tottenham Opportunity Investment Fund,http://www.haringey.gov.uk,https://tottenham.london/OIF,"The Opportunity Investment Fund provides loans to existing non-retail businesses in or relocating to Tottenham. The fund typically provides loans of up to £100,000 with interest rates of 6 to 6.5% per annum repayable within five years.

The loan can be used to fund the development of new workspace, improve existing workspace and to purchase equipment that would help create new jobs and up-skill staff. The fund is jointly provided by Haringey Council and the Greater London Authority.",Business growth|Raising finance,Financing your business,"Â£1,000 - Â£25,000|Â£25,000 - Â£100,000",Loan,https://www.growthhub.london/scheme/tottenham-opportunity-investment-fund/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x
London Borough of Haringey,"Hornsey Town Hall, London N8 9JJ",Haringey,51.578671,-0.122574,Number not found,Local Authority,London Borough of Haringey Business Support and Advice,http://www.haringey.gov.uk/,http://www.haringey.gov.uk/business/advice-and-support/starting-new-business,"London Borough of Haringey provides advice, support and information to start ups and established firms in Haringey.

Business support

Haringey Council lists the business support services available to start ups and small firms in the borough.
Website: www.haringey.gov.uk/business/advice-and-support/starting-new-business

Haringey Council provides signposting to sources of advice and support for social enterprises.
Website: www.haringey.gov.uk/business/advice-and-support/social-enterprise-co-operative-development

London Borough of Haringey provides advice and guidance on business continuity planning.
Tel: (020) 8439 3334
Email: emergencyplanning@haringey.gov.uk
Website: www.haringey.gov.uk/business/preparing-emergencies 

Financial support

Haringey Council provides loans of up to £100,000 to support existing (non-retail) businesses in Tottenham to expand and create new jobs.
Tel: (020) 8489 2695
Email: tottenhamregeneration@haringey.gov.uk
Website: www.haringey.gov.uk/regeneration/tottenham/opportunity-investment-fund

Haringey Council lists sources of funding for start ups and established firms in the borough.
Website: www.haringey.gov.uk/business/advice-and-support/access-to-finance

Business premises

London Borough of Haringey lists council-owned premises available to rent or buy.
Tel: (020) 8489 2175
Website: www.haringey.gov.uk/business/available-properties

Libraries

Haringey libraries are a good source of information and intelligence for start ups and small business owners.
Website: www.haringey.gov.uk/libraries-sport-and-leisure/libraries/find-library

Trading licences

The local licensing team provides information about how to apply for various trading licences.
Tel: (020) 8489 1335
Email: licensing@haringey.gov.uk
Website: www.haringey.gov.uk/business/licensing-and-regulations/licensing

Business rates

London Borough of Haringey is responsible for collecting business rates and dealing with any related queries.
Tel: (020) 8489 1700
Email: business.rates@haringey.gov.uk
Website: www.haringey.gov.uk/business/business-rates

Procurement

Haringey Council provides information to help business owners bid for public sector tenders.
Website: www.haringey.gov.uk/business/selling-council

Emergency contacts

London Borough of Haringey provides an out of hours service for emergencies such as:

    Collapsed or unsafe buildings
    Traffic accidents
    Emergency repairs to council-owned property
    Extreme weather

Tel: (020) 8489 0000
Website: www.haringey.gov.uk/contact/out-hours-emergencies",Business start up|Legal compliance issues|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-haringey/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
